reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,text.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
72,86,88,0,45,45,56,97.6553256999905,98.64777239999967,98.64777239999967,98.66445349999412,l,0.5391748999973061,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
2,35,6,0,46,46,20,99.22336679999717,100.2143037999922,100.2143037999922,100.2309183999896,l,0.4172039999975823,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
66,72,65,0,47,47,80,100.65546670000185,101.6474245999998,101.6474245999998,101.66409979999298,l,0.45684249998885207,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
60,62,15,0,48,48,12,102.13912849999906,103.13094109999656,103.13094109999656,103.14746339998965,l,0.6485084000014467,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
27,93,14,0,49,49,30,103.8050488000008,104.79727869998896,104.79727869998896,104.8141495000018,l,0.8286315000004834,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
77,89,65,0,50,50,72,105.6565561999887,106.64720300000045,106.64720300000045,106.66429939999944,l,1.0704852000053506,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
49,60,89,0,51,51,4,107.75476219999837,108.74711329999263,108.74711329999263,108.76391199999489,l,1.0074249999888707,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
21,52,23,0,52,52,34,109.7881425999949,110.78046300000278,110.78046300000278,110.79689879999205,l,1.0623265000031097,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
3,10,34,0,53,53,35,111.87148219998926,112.863852399998,112.863852399998,112.8801686999941,l,0.7857930000027409,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
49,93,7,0,54,54,46,113.68638859999191,114.68036339999526,114.68036339999526,114.69685510000272,l,1.0430051000003004,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
27,85,48,0,55,55,94,115.75319879999734,116.7467745999893,116.7467745999893,116.76332410000032,l,0.6884604999941075,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
1,19,7,0,56,56,39,117.4693508999917,118.46335259999614,118.46335259999614,118.48014949999924,l,1.0311185000027763,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
67,75,119,0,57,57,5,119.51985979999881,120.51357709999138,120.51357709999138,120.53000549999706,l,0.8671863999916241,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
46,62,23,0,58,58,62,121.4057649000024,122.39668320000055,122.39668320000055,122.4133359999978,t,0.8484251999907428,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
40,55,62,0,59,59,3,123.27117019999423,124.26331959999516,124.26331959999516,124.27991079998901,t,0.6645551999972668,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
84,96,12,0,60,60,50,124.95629049999116,125.94640010000148,125.94640010000148,125.96292239999457,t,0.8727789999975357,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
27,38,67,0,61,61,38,126.85374140000204,127.84585079998942,127.84585079998942,127.86251269999775,t,0.7815899999986868,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
13,19,16,0,62,62,13,128.6537757999904,129.64636980000068,129.64636980000068,129.66307389999565,t,0.5502462000004016,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
78,80,162,0,63,63,6,130.22154020000016,131.21266730000207,131.21266730000207,131.22949599999993,t,0.7250227999902563,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
66,99,76,0,64,64,73,131.9700690999889,132.96252619998995,132.96252619998995,132.97922860000108,t,0.6842191000032471,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
35,90,45,0,65,65,24,133.6715753000026,134.66272789999493,134.66272789999493,134.67944459999853,t,0.40090480000071693,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
10,18,32,0,66,66,77,135.09529399999883,136.07933939999202,136.07933939999202,136.09599359999993,t,0.6877275999868289,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
12,120,47,0,67,67,18,136.80228930000158,137.79573069998878,137.79573069998878,137.8123990999884,l,0.560455800005002,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
5,72,56,0,68,68,60,138.38572259999637,139.37902569999278,139.37902569999278,139.3957650999946,l,0.2399619000061648,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
24,67,67,0,69,69,26,139.65493619999324,140.64583549999224,140.64583549999224,140.66247799999837,l,0.26252790000580717,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
78,89,8,0,70,70,47,140.93572119998862,141.92896309999924,141.92896309999924,141.9458103999932,l,0.43661429999338,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
13,34,5,0,71,71,41,142.40267119999044,143.39559960000042,143.39559960000042,143.41224459999648,l,0.8720869000098901,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
51,82,56,0,72,72,57,144.30172439999296,145.29563409999537,145.29563409999537,145.31199969998852,l,0.6997692000004463,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
49,99,38,0,73,73,96,146.02093879999302,147.0119801999972,147.0119801999972,147.02861019999546,l,0.49148199999763165,None,470377,001,2023-11-03_12h31.26.250,Delay Discounting,2023.1.3,59.935868620669666,
